id,title,category,subcategory,problem_text,solution_text,source,created_at,hint_text
34,Circular Race Track Gas Can Strategy,brain_teasers,Math Induction,"Imagine you're driving on a circular one-way race track. There are N gas cans scattered randomly around the track, and the combined gasoline in all cans is precisely enough for your car to complete exactly one full lap. Your car starts with an empty tank, but you can choose any starting point on the track and collect gas from cans as you pass them. Is it always possible to select a starting position that allows you to finish the entire lap?","If you're unsure how to approach this, begin with the simplest cases (N = 1, 2) and consider using mathematical induction. Assume the track’s circumference is normalized to 1 unit for simplicity. For N = 1, the solution is trivial: start at the single gas can’s location. For N = 2, let the gas amounts (expressed as travelable distance) in can 1 and can 2 be x₁ and x₂, respectively, where x₁ + x₂ = 1. The segments between cans are y₁ and y₂, with y₁ + y₂ = 1. Since x₁ + x₂ = y₁ + y₂ = 1, at least one of the following must hold: x₁ ≥ y₁ or x₂ ≥ y₂. If x₁ ≥ y₁, starting at can 1 allows the car to reach can 2 using gas from can 1, then use gas from can 2 to complete the lap. Otherwise, start at can 2 and use gas from can 1 to finish the lap.

This logic extends to the induction step. Assume the statement holds for N = n, and consider N = n + 1. With x₁ + x₂ + ... + xₙ₊₁ = 1 and y₁ + y₂ + ... + yₙ₊₁ = 1, there must exist at least one i where xᵢ ≥ yᵢ. Starting at gas can i, the car can reach gas can i+1 (with wrap-around for i = n+1) using the gas from can i, and the combined gas (xᵢ + xᵢ₊₁) ensures the car can proceed further. This effectively ""combines"" cans i and i+1 into a single can at position i with gas xᵢ + xᵢ₊₁, reducing the problem to N = n, for which the statement holds. Thus, the statement also holds for N = n + 1, proving it for any N.

Alternatively, here’s another method to determine the starting point: Imagine a second car with enough gas to complete the full lap. Place this car at a randomly chosen gas can and drive it around the track. At each gas can (including the starting point), record the gas level in the tank *before* refueling. After completing the lap, identify the lowest recorded gas level. The gas can at this position is the optimal starting point for a car with an empty tank.

Valid Answers: Yes",green_book,2026-05-03 19:56:08.862229+00,Consider the relationship between the gas available at each can and the distance to the next can. Think about what happens if you simulate driving around the track while keeping track of your fuel level. Is there a way to identify a starting point where your fuel never drops below zero?
35,Demonstrating the Irrationality of √2,brain_teasers,Proof by Contradiction,Prove that the square root of 2 (√2) cannot be expressed as a ratio of two integers.,"We proceed with a proof by contradiction. Assume that √2 is not irrational, meaning it can be written as a fraction of two integers, m and n. Without loss of generality, we can reduce this fraction to its simplest form by removing any common factors between m and n, resulting in an irreducible fraction. Given that m/n = √2, squaring both sides yields m² = 2n². This implies that m² is even, and therefore m itself must be even (since the square of an odd number is odd). Let m = 2x, where x is an integer. Substituting back, we get (2x)² = 2n² → 4x² = 2n² → n² = 2x². This shows that n² is also even, and thus n must be even. However, this contradicts our earlier assumption that m and n have no common factors, as both are now divisible by 2. Therefore, our initial assumption must be false, and √2 cannot be expressed as a ratio of two integers, proving it is irrational.


Rainbow hats
Seven prisoners are given the chance to be set free tomorrow. An executioner will put a hat on each prisoner's head. Each hat can be one of the seven colors of the rainbow, and the hat colors are assigned completely at the executioner's discretion. Every prisoner can see the hat colors of the other six prisoners but not his own. They cannot communicate in any way, or they will be executed. Then each prisoner writes down his guess of his own hat color. If at least one prisoner correctly guesses the color of his hat, they all will be set free immediately; otherwise, they will be executed. They are given the night to devise a strategy. Is there a strategy that guarantees their freedom?",green_book,2026-05-03 19:56:08.862229+00,"Consider using modular arithmetic to encode information about the hat colors they see. Think about how the prisoners can use their guesses to cover all possible color combinations systematically, ensuring at least one correct guess regardless of the distribution."
36,Prisoners and Rainbow Hats Strategy,brain_teasers,Proof by Contradiction,"Seven prisoners are lined up and each is given a hat in one of the seven colors of the rainbow. The colors are chosen arbitrarily by the executioner. Each prisoner can see the hats of the other six but not their own. They must write down their guess for their own hat color without any communication. If at least one prisoner correctly identifies their hat color, all are freed; otherwise, they are executed. They can strategize the night before. Is there a guaranteed strategy to ensure their freedom?","This problem appears more complex than the classic modular arithmetic prisoner puzzle because here prisoners cannot hear each other's guesses. The breakthrough comes from assigning each rainbow color a unique number from 0 to 6. Let $x_i$ represent the color code of prisoner $i$'s hat.

The strategy requires each prisoner $i$ to compute a guess $g_i$ such that the sum of all hat colors modulo 7 equals $i$:
$$(g_i + \sum_{k \neq i} x_k) \bmod 7 = i$$

Each prisoner $i$ calculates their guess $g_i$ by solving:
$$g_i = (i - \sum_{k \neq i} x_k) \bmod 7$$

This ensures that at least one prisoner's guess will match their actual hat color. To prove this by contradiction, assume no prisoner guesses correctly. Then for all $i$, $g_i \neq x_i$, which implies:
$$(x_i + \sum_{k \neq i} x_k) \bmod 7 \neq i$$
$$(\sum_{k=0}^6 x_k) \bmod 7 \neq i \quad \text{for all } i = 0,1,2,3,4,5,6$$

This is impossible because the sum modulo 7 must equal some value between 0 and 6. Therefore, at least one prisoner must have guessed correctly, guaranteeing their freedom.

Valid Answers: Yes",green_book,2026-05-03 19:56:08.862229+00,Consider assigning each color a unique number and using modular arithmetic to distribute the responsibility of guessing among the prisoners. Think about how the total sum of all hat colors modulo 7 could be leveraged to ensure at least one correct guess.
37,Comparing Growth Rates of Exponential and Factorial Functions,calculus,,"Without performing any numerical calculations, determine whether $e^e$ or $e!$ is larger.","Consider the natural logarithm of both quantities. The left side becomes $\ln(e^e) = e \ln e = e$, and the right side becomes $\ln(e!) = e \ln e - \ln(e!) = e - \ln(e!)$.

To compare these, we analyze the function $f(x) = \ln x$. Its derivative is $f'(x) = \frac{1}{x}$, which is positive for all $x > 0$, indicating that $f(x)$ is strictly increasing. Therefore, if $a > b$, then $\ln a > \ln b$.

Now, compare $e$ and $e - \ln(e!)$. This reduces to checking whether $\ln(e!) > 0$. Since $e > 1$, we know that $\ln(e!) > 0$ because the factorial $e!$ is greater than 1 and the natural logarithm is increasing. Thus, $e > e - \ln(e!)$, which implies $\ln(e^e) > \ln(e!)$. Because the natural logarithm is increasing, this means $e^e > e!$.

Valid Answers: $e^e$",green_book,2026-05-03 19:56:08.862229+00,Consider taking the natural logarithm of both quantities to simplify the comparison. Think about how the properties of logarithms and the growth rates of the functions involved can help you determine which is larger.
38,Applying L'Hôpital's Rule to Indeterminate Limits,calculus,,"Using L'Hôpital's rule, find the following limits:
1. $\lim_{x \to \infty} \frac{e^x}{x^2}$
2. $\lim_{x \to 0^+} x^2 \ln x$","1. For $\lim_{x \to \infty} \frac{e^x}{x^2}$:
   - This is an indeterminate form of type $\frac{\infty}{\infty}$, so L'Hôpital's rule applies.
   - First application:
     $$\lim_{x \to \infty} \frac{e^x}{x^2} = \lim_{x \to \infty} \frac{\frac{d}{dx}e^x}{\frac{d}{dx}x^2} = \lim_{x \to \infty} \frac{e^x}{2x}$$
   - The result is still $\frac{\infty}{\infty}$, so apply L'Hôpital's rule again:
     $$\lim_{x \to \infty} \frac{e^x}{2x} = \lim_{x \to \infty} \frac{\frac{d}{dx}e^x}{\frac{d}{dx}2x} = \lim_{x \to \infty} \frac{e^x}{2} = \infty$$

2. For $\lim_{x \to 0^+} x^2 \ln x$:
   - Rewrite as $\lim_{x \to 0^+} \frac{\ln x}{x^{-2}}$ to match the $\frac{\infty}{\infty}$ form.
   - Apply L'Hôpital's rule:
     $$\lim_{x \to 0^+} \frac{\ln x}{x^{-2}} = \lim_{x \to 0^+} \frac{\frac{d}{dx}\ln x}{\frac{d}{dx}x^{-2}} = \lim_{x \to 0^+} \frac{x^{-1}}{-2x^{-3}} = \lim_{x \to 0^+} \frac{-x^2}{2} = 0$$

Valid Answers:
1. $\infty$
2. $0$",green_book,2026-05-03 19:56:08.862229+00,"For the first limit, check if the form is suitable for L'Hôpital's rule and consider how many times you might need to apply it. For the second limit, think about rewriting the expression to match a form where L'Hôpital's rule can be applied—what indeterminate form does the rewritten expression resemble?"
39,Volume of Intersection for Two Perpendicular Cylinders,calculus,,"Two identical cylinders, each with a radius of 1, intersect at right angles such that their central axes cross. Calculate the volume of the region where they overlap.","This problem requires using integration to compute the volume of a 3D region. The standard approach involves expressing the volume as $V = \int A(z) \, dz$, where $A(z)$ represents the area of a cross-section perpendicular to the $z$-axis at height $z$.

To determine $A(z)$, consider slicing the intersection horizontally. Each slice forms a square with side length $2\sqrt{1 - z^2}$, derived from the circular cross-sections of the cylinders. By symmetry, the total volume can be computed as:

$$
V = 8 \int_0^1 (1 - z^2) \, dz = 8 \left[ z - \frac{z^3}{3} \right]_0^1 = 8 \left(1 - \frac{1}{3}\right) = \frac{16}{3}.
$$

Alternatively, observe that a sphere of radius $\frac{2}{3}$ fits perfectly within the intersection. At every height $z$, the circular cross-section of the sphere is inscribed in the square cross-section of the intersection, meaning their areas are equal. Thus, the volume of the intersection equals the volume of the sphere:

$$
V_{\text{sphere}} = \frac{4}{3}\pi r^3 = \frac{4}{3}\pi \left(\frac{2}{3}\right)^3 = \frac{16}{3}.
$$

Valid Answers: 16/3",green_book,2026-05-03 19:56:08.862229+00,"Consider slicing the overlapping region into thin horizontal cross-sections. What shape do these cross-sections form, and how can you relate their area to the height? Think about the constraints imposed by the cylinders' circular cross-sections."
40,Conditional expectation for a standard normal variable,conditional_expectation,,"Given that X follows a standard normal distribution, X ~ N(0, 1), compute the conditional expectation E[X | X > 0].","For a standard normal random variable X ~ N(0, 1), the probability density function is given by $f(x) = \frac{1}{\sqrt{2\pi}} e^{-\frac{1}{2}x^2}$. The conditional expectation is computed as:

$$E[X \mid X > 0] = \frac{\int_0^{\infty} x f(x) \, dx}{\int_0^{\infty} f(x) \, dx} = \frac{\int_0^{\infty} x \frac{1}{\sqrt{2\pi}} e^{-\frac{1}{2}x^2} \, dx}{\int_0^{\infty} \frac{1}{\sqrt{2\pi}} e^{-\frac{1}{2}x^2} \, dx}.$$ 

To evaluate the numerator, observe that the derivative of $-\frac{1}{2}x^2$ with respect to $x$ is $-x$. Thus, we can apply integration by substitution. Let $u = -\frac{1}{2}x^2$. Then $du = -x \, dx$, so $x \, dx = -du$. Substituting, the numerator becomes:

$$
\int_0^{\infty} x \frac{1}{\sqrt{2\pi}} e^{-\frac{1}{2}x^2} \, dx = \frac{1}{\sqrt{2\pi}} \int_{u(0)}^{u(\infty)} e^u (-du) = \frac{1}{\sqrt{2\pi}} \int_{-\infty}^0 e^u \, du.
$$

Evaluating this integral:

$$
\frac{1}{\sqrt{2\pi}} \int_{-\infty}^0 e^u \, du = \frac{1}{\sqrt{2\pi}} \left[ e^u \right]_{-\infty}^0 = \frac{1}{\sqrt{2\pi}} (1 - 0) = \frac{1}{\sqrt{2\pi}}.
$$

The denominator is the probability that $X > 0$, which for a standard normal distribution is $\frac{1}{2}$ (since the distribution is symmetric about 0). Therefore:

$$E[X \mid X > 0] = \frac{\frac{1}{\sqrt{2\pi}}}{\frac{1}{2}} = \frac{2}{\sqrt{2\pi}} = \frac{\sqrt{2}}{\sqrt{\pi}} = \sqrt{\frac{2}{\pi}}.$$ 

Valid Answers: $\sqrt{\frac{2}{\pi}}$",green_book,2026-05-03 19:56:08.862229+00,Recall that the conditional expectation E[X | X > 0] is the expected value of X given that X is positive. Consider how you can express this expectation using the probability density function of the standard normal distribution and the definition of conditional probability.
41,Taylor Series Fundamentals and Applications,calculus,Important Calculus Methods,"The one-dimensional Taylor series expansion of a function $f(x)$ around a point $x_0$ is given by:

$$f(x) = f(x_0) + f'(x_0)(x - x_0) + \frac{f''(x_0)}{2!}(x - x_0)^2 + \cdots + \frac{f^{(n)}(x_0)}{n!}(x - x_0)^n + \cdots$$

When $x_0 = 0$, this becomes the Maclaurin series:

$$f(x) = f(0) + f'(0)x + \frac{f''(0)}{2!}x^2 + \frac{f'''(0)}{3!}x^3 + \cdots$$

The Maclaurin series for $e^x$, $\sin x$, and $\cos x$ are:

$$e^x = \sum_{n=0}^{\infty} \frac{x^n}{n!} = 1 + x + \frac{x^2}{2!} + \frac{x^3}{3!} + \cdots$$

$$\sin x = \sum_{n=0}^{\infty} (-1)^n \frac{x^{2n+1}}{(2n+1)!} = x - \frac{x^3}{3!} + \frac{x^5}{5!} - \cdots$$

$$\cos x = \sum_{n=0}^{\infty} (-1)^n \frac{x^{2n}}{(2n)!} = 1 - \frac{x^2}{2!} + \frac{x^4}{4!} - \cdots$$

The Taylor series can also be expressed as a finite sum (the $n$th-degree Taylor polynomial $T_n(x)$) plus a remainder term $R_n(x)$:

$$f(x) = T_n(x) + R_n(x) = \sum_{k=0}^n \frac{f^{(k)}(x_0)}{k!}(x - x_0)^k + \frac{f^{(n+1)}(c)}{(n+1)!}(x - x_0)^{n+1}$$ 

where $c$ lies between $x_0$ and $x$. If $M$ is the maximum of $|f^{(n+1)}(x)|$ for all $x$ between $x_0$ and $x$, then the remainder satisfies:

$$|R_n(x)| \leq \frac{M}{(n+1)!}|x - x_0|^{n+1}$$

A. What is the value of $c$ in the remainder term $R_n(x)$?","The solution employs Euler's formula, $e^{i\theta} = \cos \theta + i \sin \theta$, which can be derived using Taylor series expansions. Let's examine the proof step-by-step.

First, we expand $e^{i\theta}$, $\cos \theta$, and $\sin \theta$ using their respective Maclaurin series:

$$e^{i\theta} = \sum_{n=0}^{\infty} \frac{(i\theta)^n}{n!} = 1 + i\theta + \frac{(i\theta)^2}{2!} + \frac{(i\theta)^3}{3!} + \cdots$$

$$= 1 + i\theta - \frac{\theta^2}{2!} - i\frac{\theta^3}{3!} + \frac{\theta^4}{4!} + i\frac{\theta^5}{5!} - \cdots$$

$$\cos \theta = \sum_{n=0}^{\infty} (-1)^n \frac{\theta^{2n}}{(2n)!} = 1 - \frac{\theta^2}{2!} + \frac{\theta^4}{4!} - \cdots$$

$$\sin \theta = \sum_{n=0}^{\infty} (-1)^n \frac{\theta^{2n+1}}{(2n+1)!} = \theta - \frac{\theta^3}{3!} + \frac{\theta^5}{5!} - \cdots$$

Grouping the real and imaginary parts of $e^{i\theta}$:

$$e^{i\theta} = \left(1 - \frac{\theta^2}{2!} + \frac{\theta^4}{4!} - \cdots\right) + i\left(\theta - \frac{\theta^3}{3!} + \frac{\theta^5}{5!} - \cdots\right) = \cos \theta + i \sin \theta$$

This confirms Euler's formula. Now, substituting $\theta = \pi$:

$$e^{i\pi} = \cos \pi + i \sin \pi = -1$$

Taking the natural logarithm of both sides:

$$i\pi = \ln(-1)$$

For $\theta = \frac{\pi}{2}$:

$$e^{i\pi/2} = \cos \frac{\pi}{2} + i \sin \frac{\pi}{2} = i$$

Thus, $\ln i = \ln \left(e^{i\pi/2}\right) = i\frac{\pi}{2}$. Therefore:

$$\ln(i) = i\frac{\pi}{2}$$

Solving for $c$ in $i^c = e^{c \ln i} = e^{c i \pi/2}$, we set this equal to $i$:

$$e^{c i \pi/2} = i = e^{i\pi/2}$$

Equating exponents:

$$c \frac{\pi}{2} = \frac{\pi}{2} \implies c = 1$$

Hence, $c = e^{-i\pi/2}$.

B. Prove $(1 + x)^n \geq 1 + nx$ for all $x > -1$ and for all integers $n \geq 2$.",green_book,2026-05-03 19:56:08.862229+00,"Consider using mathematical induction on the integer n. Start by verifying the base case (n=2) directly, then assume the inequality holds for some n=k and prove it for n=k+1 by leveraging the binomial expansion of (1 + x)^{k+1}."
42,Applying Newton's Method to Approximate a Square Root,calculus,Important Calculus Methods,Use Newton's method to approximate the solution to $x^2 = 37$ with an accuracy of three decimal places.,"Define the function $f(x) = x^2 - 37$, so solving $x^2 = 37$ is equivalent to finding the root of $f(x) = 0$. A reasonable initial guess is $x_0 = 6$. Newton's method updates the estimate using the formula:

$$x_{n+1} = x_n - \frac{f(x_n)}{f'(x_n)}.$$ 

Here, $f'(x) = 2x$, so the first iteration is:

$$x_1 = 6 - \frac{6^2 - 37}{2 \cdot 6} = 6 - \frac{-1}{12} = 6 + \frac{1}{12} = 6.083.$$ 

Evaluating $6.083^2$ gives approximately $37.00289$, which is extremely close to $37$. Thus, the approximation to three decimal places is $x = 6.083$.

Alternatively, using a first-order Taylor expansion around $x = 6$ for $f(x) = \sqrt{x}$, we have:

$$f(37) \approx f(36) + f'(36)(37 - 36) = 6 + \frac{1}{12} = 6.083.$$ 

Or, by assuming the solution is slightly larger than $6$, we set $(6 + y)^2 = 37$. Ignoring the $y^2$ term as negligible, we solve $12y = 1$ to get $y = 0.083$, yielding $x = 6.083$.

Valid Answers: 6.083",green_book,2026-05-03 19:56:08.862229+00,"Recall that Newton's method is an iterative technique for finding roots of a function. Start by rewriting the equation in the form f(x) = 0, then use the iterative formula to refine your guess. What would be a reasonable initial guess for the square root of 37?"
43,Calculating the Shortest Distance from Origin to a Plane,linear_algebra,Important Calculus Methods,"Find the shortest distance from the origin (0, 0, 0) to the plane defined by the equation 2x + 3y + 4z = 12.","The shortest distance from the origin to the plane is the minimum Euclidean distance between the origin and any point on the plane. This can be framed as an optimization problem:

minimize $D^2 = x^2 + y^2 + z^2$

subject to the constraint $2x + 3y + 4z - 12 = 0$.

Using the method of Lagrange multipliers, we introduce a multiplier $\lambda$ and form the Lagrangian:

$$\mathcal{L}(x, y, z, \lambda) = x^2 + y^2 + z^2 + \lambda(2x + 3y + 4z - 12).$$

Taking partial derivatives and setting them to zero yields the system:

$$
\begin{aligned}
\frac{\partial \mathcal{L}}{\partial x} &= 2x + 2\lambda = 0 \quad \Rightarrow \quad x = -\lambda, \\
\frac{\partial \mathcal{L}}{\partial y} &= 2y + 3\lambda = 0 \quad \Rightarrow \quad y = -\frac{3}{2}\lambda, \\
\frac{\partial \mathcal{L}}{\partial z} &= 2z + 4\lambda = 0 \quad \Rightarrow \quad z = -2\lambda, \\
\frac{\partial \mathcal{L}}{\partial \lambda} &= 2x + 3y + 4z - 12 = 0.
\end{aligned}
$$

Substituting $x$, $y$, and $z$ into the constraint equation:

$$2(-\lambda) + 3\left(-\frac{3}{2}\lambda\right) + 4(-2\lambda) = 12,$$

which simplifies to

$$-2\lambda - \frac{9}{2}\lambda - 8\lambda = 12 \quad \Rightarrow \quad -\frac{29}{2}\lambda = 12 \quad \Rightarrow \quad \lambda = -\frac{24}{29}.$$ 

Thus, the coordinates of the closest point are:

$$x = \frac{24}{29}, \quad y = \frac{36}{29}, \quad z = \frac{48}{29}.$$ 

The minimum distance is then:

$$D = \sqrt{x^2 + y^2 + z^2} = \sqrt{\left(\frac{24}{29}\right)^2 + \left(\frac{36}{29}\right)^2 + \left(\frac{48}{29}\right)^2} = \frac{\sqrt{24^2 + 36^2 + 48^2}}{29} = \frac{\sqrt{576 + 1296 + 2304}}{29} = \frac{\sqrt{4176}}{29} = \frac{24\sqrt{7}}{29} = \frac{2\sqrt{29}}{29}.$$ 

Alternatively, for a plane given by $ax + by + cz = d$, the distance from the origin is:

$$D = \frac{|d|}{\sqrt{a^2 + b^2 + c^2}} = \frac{12}{\sqrt{2^2 + 3^2 + 4^2}} = \frac{12}{\sqrt{4 + 9 + 16}} = \frac{12}{\sqrt{29}} = \frac{12\sqrt{29}}{29} = \frac{2\sqrt{29}}{29}.$$

Valid Answers: $\frac{2\sqrt{29}}{29}$",green_book,2026-05-03 19:56:08.862229+00,Recall that the shortest distance from a point to a plane is along the line perpendicular to the plane. Think about how the normal vector of the plane (derived from its coefficients) can help you find this perpendicular direction.
44,Solving separable differential equations with initial conditions,calculus,Important Calculus Methods,"Consider the separable differential equation of the form dy/dx = g(x)h(y). By rearranging terms, we can express it as dy/h(y) = g(x)dx. Integrating both sides yields the implicit solution ∫(1/h(y)) dy = ∫g(x) dx.

A. Solve the ordinary differential equation y' + 6xy = 0 with the initial condition y(0) = 1.","For part A, we identify g(x) = -6x and h(y) = y, so the equation becomes dy/dx = -6xy. Separating variables gives dy/y = -6x dx. Integrating both sides yields ∫(1/y) dy = ∫-6x dx, which produces ln|y| = -3x² + c, where c is an arbitrary constant. Exponentiating both sides gives y = e^(-3x² + c) = e^c * e^(-3x²). Applying the initial condition y(0) = 1, we substitute x = 0 and y = 1 to find 1 = e^c * e^(0), so e^c = 1 and c = 0. Thus, the solution simplifies to y = e^(-3x²).

B. Solve ordinary differential equation y' = x - y / (x + y)",green_book,2026-05-03 19:56:08.862229+00,"First, check if the given differential equation is separable. If not, consider rewriting it to see if it can be transformed into a separable form. Look for substitutions or algebraic manipulations that might simplify the equation."
45,General Solution for a Second-Order Homogeneous Linear ODE,calculus,Important Calculus Methods,"Find the general solution to the second-order homogeneous linear differential equation given by:
$$y'' + y' + y = 0.$$","For the differential equation $y'' + y' + y = 0$, the coefficients are $a = 1$, $b = 1$, and $c = 1$. The characteristic equation is derived as:
$$r^2 + r + 1 = 0.$$ 
Solving for the roots using the quadratic formula:
$$r = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a} = \frac{-1 \pm \sqrt{1 - 4}}{2} = \frac{-1 \pm \sqrt{-3}}{2} = -\frac{1}{2} \pm \frac{\sqrt{3}}{2}i.$$ 
Here, the roots are complex conjugates of the form $\alpha \pm \beta i$, where $\alpha = -\frac{1}{2}$ and $\beta = \frac{\sqrt{3}}{2}$. 

For a second-order homogeneous linear differential equation with complex roots $\alpha \pm \beta i$, the general solution is given by:
$$y(x) = e^{\alpha x} \left(c_1 \cos(\beta x) + c_2 \sin(\beta x)\right).$$ 
Substituting the values of $\alpha$ and $\beta$, the general solution becomes:
$$y(x) = e^{-\frac{1}{2}x} \left(c_1 \cos\left(\frac{\sqrt{3}}{2}x\right) + c_2 \sin\left(\frac{\sqrt{3}}{2}x\right)\right).$$

Valid Answers: $y(x) = e^{-\frac{1}{2}x} \left(c_1 \cos\left(\frac{\sqrt{3}}{2}x\right) + c_2 \sin\left(\frac{\sqrt{3}}{2}x\right)\right)$",green_book,2026-05-03 19:56:08.862229+00,"Recall that for second-order linear ODEs with constant coefficients, the standard approach is to first derive the characteristic equation. Focus on how the nature of the roots (real vs. complex) determines the form of the general solution."
46,Implementing Linear Least Squares via QR Decomposition,linear_algebra,0.6,Suppose you need to perform linear least squares regression on a dataset but your programming environment lacks a built-in least squares solver. How would you construct an algorithm to compute the regression coefficients using QR decomposition?,"Linear least squares regression is a fundamental statistical technique. To implement it without a dedicated function, we can leverage QR decomposition. Consider a linear regression model with n observations and p regressors:

Y_i = β₀X_{i,0} + β₁X_{i,1} + ... + β_{p-1}X_{i,p-1} + ε_i, where X_{i,0} = 1 for all i (the intercept term).

In matrix form, this becomes:

Y = Xβ + ε,

where Y is an n×1 vector of responses, X is an n×p design matrix (with columns representing regressors including the intercept), β is a p×1 vector of coefficients to estimate, and ε is an n×1 vector of errors.

The least squares objective is to minimize the sum of squared residuals:

min_β Σ_{i=1}^n ε_i² = min_β (Y - Xβ)ᵀ(Y - Xβ).

Taking the derivative with respect to β and setting it to zero yields the normal equations:

(XᵀX)β = XᵀY.

Let A = XᵀX and b = XᵀY. The problem reduces to solving Aβ = b. Since A may be ill-conditioned, we use QR decomposition instead of directly inverting A.

QR decomposition factors A into an orthogonal matrix Q and an upper-triangular matrix R with positive diagonal entries: A = QR. Since Q is orthogonal, QᵀQ = I, so:

QRβ = b ⇒ Rβ = Qᵀb.

Because R is upper-triangular, we solve for β via back-substitution starting from the last equation:

R_{p,p}β_p = (Qᵀb)_p ⇒ β_p = (Qᵀb)_p / R_{p,p}.

We then iteratively solve for β_{p-1}, ..., β₀ using the remaining equations. This yields the least squares estimate β.

Valid Answers: QR decomposition followed by back-substitution on Rβ = Qᵀb",green_book,2026-05-03 19:56:08.862229+00,Recall that QR decomposition factors a matrix into an orthogonal matrix Q and an upper-triangular matrix R. How might this structure help you solve the normal equations (XᵀX)β = XᵀY efficiently? Think about the properties of orthogonal matrices and how they simplify matrix operations.
47,Generating Correlated Normal Random Variables via Cholesky Decomposition,linear_algebra,p     1,"Suppose you have access to a random number generator that produces independent standard normal (N(0,1)) random variables. How can you use Cholesky decomposition to generate two such variables, X₁ and X₂, with a specified correlation coefficient ρ?","To generate two standard normal random variables X₁ and X₂ with correlation ρ, we first generate two independent standard normal variables Z₁ and Z₂. Then, we construct X₁ and X₂ using the Cholesky decomposition of the covariance matrix. Specifically, we set:

X₁ = Z₁
X₂ = ρZ₁ + √(1 − ρ²) Z₂

To verify the properties of these variables:
- The variance of X₁ is Var(X₁) = Var(Z₁) = 1.
- The variance of X₂ is Var(X₂) = ρ² Var(Z₁) + (1 − ρ²) Var(Z₂) = ρ² + (1 − ρ²) = 1.
- The covariance between X₁ and X₂ is Cov(X₁, X₂) = Cov(Z₁, ρZ₁ + √(1 − ρ²) Z₂) = ρ Cov(Z₁, Z₁) + √(1 − ρ²) Cov(Z₁, Z₂) = ρ, since Z₁ and Z₂ are independent.

This method leverages the Cholesky decomposition to transform independent standard normal variables into correlated ones with the desired correlation structure.

Valid Answers: X₁ = Z₁, X₂ = ρZ₁ + √(1 − ρ²) Z₂",green_book,2026-05-03 19:56:08.862229+00,"Consider how the Cholesky decomposition can be used to transform a vector of independent standard normal variables into a correlated vector. Focus on constructing a lower triangular matrix that, when multiplied by the independent variables, yields the desired correlation structure."
48,Probability of Winning in a Card Comparison Game,probability,,"A standard deck of 52 cards is used in a casino game where each card has a unique value (2 through Ace). The deck is shuffled thoroughly before each round. You draw one card, and the dealer draws another without replacement. If your card’s value is strictly higher than the dealer’s, you win; otherwise, the house wins. What is the probability that you win this game?","We can approach this problem by considering the symmetry between the outcomes where your card is higher versus lower than the dealer’s card. Let’s define the following events:

- $E_1$: Your card has a higher value than the dealer’s card.
- $E_2$: Your card has the same value as the dealer’s card.
- $E_3$: Your card has a lower value than the dealer’s card.

By symmetry, the probabilities of $E_1$ and $E_3$ are equal, i.e., $P(E_1) = P(E_3)$. This is because the deck is shuffled randomly, and no card is inherently more likely to be higher or lower than another when drawn first.

Now, we calculate $P(E_2)$, the probability that both cards have the same value. After you draw a card, there are 51 remaining cards, and exactly 3 of them share the same value as your card (since there are 4 cards of each value in the deck). Thus, the probability of $E_2$ is:

$$P(E_2) = rac{3}{51} = rac{1}{17}.$$ 

Since the total probability must sum to 1, we have:

$$P(E_1) + P(E_2) + P(E_3) = 1.$$ 

Given $P(E_1) = P(E_3)$, this simplifies to:

$$2P(E_1) + rac{1}{17} = 1.$$ 

Solving for $P(E_1)$:

$$2P(E_1) = 1 - rac{1}{17} = rac{16}{17},$$ 

$$P(E_1) = rac{8}{17}.$$ 

Thus, the probability that you win the game is $rac{8}{17}$.

Valid Answers: 8/17",green_book,2026-05-03 19:56:08.862229+00,"Consider the symmetry between the outcomes where your card is higher versus lower than the dealer’s card. What does this symmetry imply about their probabilities? Also, think about the probability of both cards having the same value."
